#,IBk-1Holdout,IBk-1Holdoutgen,IBk-1CV,IBk-1CVgen,IBk-1Resample,IBk-1Resamplegen,IBk-3Holdout,IBk-3Holdoutgen,IBk-3CV,IBk-3CVgen,IBk-3Resample,IBk-3Resamplegen,IBk-5Holdout,IBk-5Holdoutgen,IBk-5CV,IBk-5CVgen,IBk-5Resample,IBk-5Resamplegen,IBk-10Holdout,IBk-10Holdoutgen,IBk-10CV,IBk-10CVgen,IBk-10Resample,IBk-10Resamplegen,J48-2Holdout,J48-2Holdoutgen,J48-2CV,J48-2CVgen,J48-2Resample,J48-2Resamplegen,J48-5Holdout,J48-5Holdoutgen,J48-5CV,J48-5CVgen,J48-5Resample,J48-5Resamplegen,J48-10Holdout,J48-10Holdoutgen,J48-10CV,J48-10CVgen,J48-10Resample,J48-10Resamplegen,J48-30Holdout,J48-30Holdoutgen,J48-30CV,J48-30CVgen,J48-30Resample,J48-30Resamplegen,NBCHoldout,NBCHoldoutgen,NBCCV,NBCCVgen,NBCResample,NBCResamplegen,SMO-1-PHoldout,SMO-1-PHoldoutgen,SMO-1-PCV,SMO-1-PCVgen,SMO-1-PResample,SMO-1-PResamplegen,SMO-5-PHoldout,SMO-5-PHoldoutgen,SMO-5-PCV,SMO-5-PCVgen,SMO-5-PResample,SMO-5-PResamplegen,SMO-1-RBFHoldout,SMO-1-RBFHoldoutgen,SMO-1-RBFCV,SMO-1-RBFCVgen,SMO-1-RBFResample,SMO-1-RBFResamplegen,SMO-5-RBFHoldout,SMO-5-RBFHoldoutgen,SMO-5-RBFCV,SMO-5-RBFCVgen,SMO-5-RBFResample,SMO-5-RBFResamplegen
IBk-1Holdout,0,0,0.097,0,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.009,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
IBk-1Holdoutgen,0,0,0,0.013,0,0.485,0.017,0.163,0,0.216,0.001,0.089,0.868,0.018,0.004,0.692,0.013,0.028,0.002,0.004,0.645,0.037,0.036,0,0,0.05,0,0.008,0,0.056,0,1,0,0,0,0.022,0.002,0.203,0,0,0,0.006,0.611,0.016,0.001,0.017,0.01,0.188,0,0.036,0,0,0,0.009,0,0.001,0,0,0,0.003,0,0.001,0,0,0,0.002,0.003,0.007,0.004,0.991,0.448,0.001,0,0.087,0,0,0,0.01
IBk-1CV,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBk-1CVgen,0,0.013,0,0,0,0.01,0.052,0.013,0.001,0.196,0.004,0.004,0.301,0.001,0.121,0.101,0.579,0.002,0.001,0.001,0.014,0.002,0.002,0,0,0.518,0,0.044,0,0.351,0,0.059,0,0.003,0,0.971,0.003,0.056,0,0.001,0.001,0.173,0.037,0.004,0.013,0.56,0.392,0.005,0,0.932,0,0.002,0,0.315,0,0.013,0,0.001,0,0.047,0,0.007,0,0.001,0,0.014,0,0.003,0.075,0.014,0.042,0,0,0.616,0,0,0,0.383
IBk-1Resample,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBk-1Resamplegen,0,0.485,0,0.01,0,0,0.008,0.146,0,0.017,0,0,0.642,0.007,0,0.106,0,0,0.001,0,0.021,0.003,0,0,0,0.01,0,0,0,0,0,0.449,0,0,0,0,0.001,0.361,0,0,0,0,0.765,0.007,0,0.004,0,0,0,0.003,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.038,0,0,0,0.021,0,0,0,0
IBk-3Holdout,0,0.017,0,0.052,0,0.008,0,0.004,0.02,0.061,0.148,0.004,0.142,0.001,0.515,0.02,0.179,0.003,0.002,0.001,0.009,0.002,0.003,0,0.001,0.103,0,0.727,0,0.054,0.004,0.018,0.001,0.181,0.002,0.111,0.024,0.032,0.001,0.046,0.017,0.395,0.009,0.001,0.59,0.072,0.234,0.005,0,0.252,0.002,0.063,0.001,0.27,0,0.166,0,0.017,0,0.858,0,0.261,0,0.029,0,0.534,0,0.002,0.641,0.013,0.017,0,0.001,0.597,0,0.009,0,0.237
IBk-3Holdoutgen,0,0.163,0,0.013,0,0.146,0.004,0,0.001,0.076,0.002,0.373,0.134,0.253,0.007,0.08,0.011,0.722,0.159,0.163,0.133,0.816,0.619,0.023,0,0.049,0,0.004,0,0.022,0,0.184,0,0.003,0,0.014,0.004,0.718,0,0.003,0.001,0.007,0.142,0.238,0.003,0.012,0.009,0.246,0,0.017,0,0.002,0,0.009,0,0.003,0,0,0,0.005,0,0.001,0,0.002,0,0.003,0.03,0.11,0.006,0.09,0.056,0.034,0,0.028,0,0.001,0,0.009
IBk-3CV,0,0,0,0.001,0,0,0.02,0.001,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0.005,0,0,0.92,0.001,0,0.034,0.012,0,0.001,0,0,0,0,0,0.011,0,0,0.116,0,0,0,0.333,0,0.032,0,0,0,0.018,0,0.923,0,0,0,0,0,0,0,0,0,0.01,0,0.116,0,0
IBk-3CVgen,0,0.216,0,0.196,0,0.017,0.061,0.076,0,0,0,0.003,0.676,0.007,0.002,0.422,0.01,0.001,0,0,0.019,0.005,0.001,0,0,0.086,0,0.003,0,0.127,0,0.173,0,0,0,0.023,0.004,0.034,0,0.001,0,0.003,0.22,0.004,0.001,0.185,0.006,0.006,0.001,0.026,0,0.001,0,0.005,0,0.009,0,0,0,0.001,0,0.002,0,0,0,0,0.002,0,0.002,0.068,0.306,0,0,0.051,0,0,0,0.006
