#,run0,run1,run2,run3,run4,mean,sd
IBk-1Holdout,0.022522523,0.018018018,0.013513514,0.018018018,0.01951952,0.018318318,0.003255178
IBk-1Holdoutgen,0.28132033,0.280570143,0.291822956,0.297074269,0.27531883,0.285221305,0.008930068
IBk-1CV,0.021177321,0.021121673,0.021232815,0.021288432,0.021177259,0.0211995,6.34E-05
IBk-1CVgen,0.251562706,0.248533981,0.238784232,0.24773785,0.259175972,0.249158948,0.007351253
IBk-1Resample,0.020168067,0.025811823,0.017973856,0.01744186,0.01853412,0.019985945,0.003413308
IBk-1Resamplegen,0.23594616,0.229612035,0.247822644,0.246239113,0.243863816,0.240696754,0.007696842
IBk-3Holdout,0.187687688,0.223723724,0.186186186,0.219219219,0.246246246,0.212612613,0.025582871
IBk-3Holdoutgen,0.283570893,0.279819955,0.267816954,0.261065266,0.292573143,0.276969242,0.01256872
IBk-3CV,0.209382713,0.208048206,0.207436971,0.209327064,0.207770428,0.208393076,9.04E-04
IBk-3CVgen,0.260518884,0.263031361,0.267634635,0.250982156,0.263427419,0.261118891,0.006216011
IBk-3Resample,0.246861925,0.206782465,0.2092257,0.224837662,0.229045643,0.223350679,0.016289898
IBk-3Resamplegen,0.280285036,0.281868567,0.29770388,0.274742676,0.254948535,0.277909739,0.015414032
IBk-5Holdout,0.276276276,0.271771772,0.283783784,0.265765766,0.244744745,0.268468468,0.014803312
IBk-5Holdoutgen,0.306076519,0.313578395,0.297824456,0.297824456,0.297824456,0.302625656,0.007089173
IBk-5CV,0.24112053,0.240898092,0.241398647,0.242620499,0.240953277,0.241398209,7.10E-04
IBk-5CVgen,0.273405345,0.265704553,0.269186499,0.27639322,0.278611249,0.272660173,0.005252459
IBk-5Resample,0.242845462,0.250208507,0.249378625,0.247508306,0.256452956,0.249278771,0.004921009
IBk-5Resamplegen,0.286619161,0.269200317,0.268408551,0.263657957,0.274742676,0.272525732,0.008806057
IBk-10Holdout,0.307807808,0.28978979,0.304804805,0.280780781,0.307807808,0.298198198,0.012271962
IBk-10Holdoutgen,0.31807952,0.315828957,0.306826707,0.326331583,0.308327082,0.31507877,0.007903716
IBk-10CV,0.271191248,0.271302298,0.270190414,0.27091347,0.271746958,0.271068878,5.76E-04
IBk-10CVgen,0.279266291,0.286118572,0.27976763,0.288661481,0.278292233,0.282421242,0.004654431
IBk-10Resample,0.282518641,0.294903926,0.281117697,0.285237698,0.271666667,0.283088926,0.008350007
IBk-10Resamplegen,0.293745051,0.27949327,0.282660333,0.309580364,0.31037213,0.29517023,0.014517623
J48-2Holdout,0.156156156,0.142642643,0.142642643,0.141141141,0.154654655,0.147447447,0.007309707
J48-2Holdoutgen,0.258814704,0.257314329,0.288822206,0.273068267,0.254313578,0.266466617,0.014434045
J48-2CV,0.152576246,0.154577111,0.152299271,0.155355352,0.154799889,0.153921574,0.001387323
J48-2CVgen,0.247627904,0.236009698,0.236906944,0.22499206,0.228345089,0.234776339,0.008779471
J48-2Resample,0.15568369,0.149794239,0.136894825,0.163382594,0.149916248,0.151134319,0.00970515
J48-2Resamplegen,0.22327791,0.237529691,0.247822644,0.221694378,0.228820269,0.231828979,0.010876336
J48-5Holdout,0.1996997,0.186186186,0.189189189,0.174174174,0.186186186,0.187087087,0.009108559
J48-5Holdoutgen,0.27531883,0.261815454,0.271567892,0.277569392,0.263315829,0.269917479,0.007065317
J48-5CV,0.175365172,0.174531499,0.176865975,0.176143938,0.176810944,0.175943506,9.96E-04
J48-5CVgen,0.233190376,0.221174154,0.213164902,0.224257806,0.221576608,0.222672769,0.007193388
J48-5Resample,0.164853556,0.162790698,0.163214582,0.167360533,0.189211618,0.169486197,0.011171783
J48-5Resamplegen,0.243072051,0.231195566,0.209817894,0.253365004,0.268408551,0.241171813,0.022230151
J48-10Holdout,0.205705706,0.205705706,0.202702703,0.225225225,0.237237237,0.215315315,0.015186706
J48-10Holdoutgen,0.265566392,0.302325581,0.289572393,0.261815454,0.28432108,0.28072018,0.016920014
J48-10CV,0.184592768,0.185092737,0.186426811,0.182201933,0.183536193,0.184370088,0.001596731
J48-10CVgen,0.219608133,0.22623886,0.219263835,0.221137941,0.230368323,0.223323418,0.004826758
J48-10Resample,0.193817878,0.193115029,0.200657895,0.204013378,0.188370188,0.195994874,0.006269147
J48-10Resamplegen,0.249406176,0.243863816,0.233570863,0.249406176,0.239113222,0.243072051,0.006833997
J48-30Holdout,0.283783784,0.271771772,0.298798799,0.262762763,0.256756757,0.274774775,0.016854313
J48-30Holdoutgen,0.296324081,0.288072018,0.269317329,0.294823706,0.314328582,0.292573143,0.016229038
J48-30CV,0.231337873,0.230170867,0.234394911,0.23156025,0.233728151,0.23223841,0.001761777
J48-30CVgen,0.256980168,0.270764544,0.253969454,0.262464694,0.254536396,0.259743051,0.007017083
J48-30Resample,0.251028807,0.253311258,0.248952221,0.251039069,0.261744966,0.253215264,0.005011362
J48-30Resamplegen,0.305621536,0.322248614,0.278701504,0.284243864,0.295328583,0.29722882,0.017406243
NBCHoldout,0.177177177,0.184684685,0.168168168,0.168168168,0.1996997,0.17957958,0.013201264
NBCHoldoutgen,0.242310578,0.24756189,0.266316579,0.260315079,0.260315079,0.255363841,0.010003126
NBCCV,0.184758878,0.185426348,0.185815206,0.185370175,0.185314712,0.185337064,3.78E-04
NBCCVgen,0.232031816,0.22355106,0.213335385,0.21398546,0.221959293,0.220972603,0.007698627
NBCResample,0.187241094,0.187032419,0.189211618,0.190075694,0.182876143,0.187287394,0.002784041
NBCResamplegen,0.226444972,0.244655582,0.221694378,0.228028504,0.199524941,0.224069675,0.016226367
SMO-1-PHoldout,0.042042042,0.031531532,0.042042042,0.06006006,0.040540541,0.043243243,0.010370148
SMO-1-PHoldoutgen,0.218304576,0.208552138,0.216804201,0.218304576,0.221305326,0.216654164,0.004815246
SMO-1-PCV,0.066588784,0.066421839,0.067478198,0.06747826,0.067422797,0.067077975,5.27E-04
SMO-1-PCVgen,0.218958594,0.189486222,0.203673174,0.209212736,0.2060922,0.205484585,0.010665904
SMO-1-PResample,0.0625,0.058381985,0.067489712,0.057692308,0.057837385,0.060780278,0.00424034
SMO-1-PResamplegen,0.215360253,0.194774347,0.209026128,0.207442597,0.198733175,0.2050673,0.008266276
SMO-5-PHoldout,0.039039039,0.021021021,0.025525526,0.025525526,0.031531532,0.028528529,0.006962176
SMO-5-PHoldoutgen,0.231807952,0.226556639,0.225806452,0.224306077,0.228057014,0.227306827,0.002856629
SMO-5-PCV,0.04446671,0.044800074,0.045300414,0.045522482,0.045189117,0.045055759,4.21E-04
SMO-5-PCVgen,0.203874321,0.191913977,0.201701927,0.225490219,0.210234417,0.206642972,0.01242115
SMO-5-PResample,0.032040472,0.036758563,0.035478548,0.039049236,0.030431107,0.034751585,0.003501532
SMO-5-PResamplegen,0.21060966,0.221694378,0.2304038,0.227236738,0.203483769,0.218685669,0.011355697
SMO-1-RBFHoldout,0.283783784,0.288288288,0.301801802,0.295795796,0.307807808,0.295495495,0.009753983
SMO-1-RBFHoldoutgen,0.317329332,0.335333833,0.300075019,0.320330083,0.299324831,0.31447862,0.015119583
SMO-1-RBFCV,0.242509913,0.241676672,0.242343617,0.242621518,0.242120931,0.24225453,3.74E-04
SMO-1-RBFCVgen,0.272156017,0.266148601,0.270888854,0.275985309,0.277698106,0.272575377,0.004533036
SMO-1-RBFResample,0.251452282,0.256366723,0.271893244,0.268049793,0.265843621,0.262721133,0.008509373
SMO-1-RBFResamplegen,0.27949327,0.247822644,0.296912114,0.315914489,0.349960412,0.298020586,0.038347949
SMO-5-RBFHoldout,0.142642643,0.157657658,0.135135135,0.130630631,0.133633634,0.13993994,0.010848283
SMO-5-RBFHoldoutgen,0.231057764,0.23555889,0.231807952,0.261065266,0.257314329,0.24336084,0.014610372
SMO-5-RBFCV,0.137624236,0.136846396,0.137068804,0.137290717,0.135789914,0.136924013,6.96E-04
SMO-5-RBFCVgen,0.201321016,0.199287238,0.200756335,0.203372283,0.216310875,0.204209549,0.006921715
SMO-5-RBFResample,0.143926789,0.155518395,0.137959866,0.145134228,0.139495798,0.144407015,0.006890355
SMO-5-RBFResamplegen,0.220110847,0.196357878,0.241488519,0.231987332,0.26128266,0.230245447,0.024206543
